Scenario 1 ===============================================================>

Python binary: /home/chaurasi/semesterproject/venvs/venv-graph1/bin/python
Python version: Python 3.10.4
2.8.0+cu128
12.8
True
Training Examples: 412, Val Examples: 40, Test Examples: 48
Elapsed time: 1788.7766 seconds
412
torch.Size([329500, 14])
torch.Size([129900, 14])
torch.Size([172400, 14])
Step 168, Batch Loss: 0.2505, Graph Shape: torch.Size([334100, 14]), target shape: torch.Size([3341, 1])
Step 169, Batch Loss: 0.2977, Graph Shape: torch.Size([136000, 14]), target shape: torch.Size([1360, 1])
Step 170, Batch Loss: 0.1899, Graph Shape: torch.Size([155600, 14]), target shape: torch.Size([1556, 1])
Step 171, Batch Loss: 0.1116, Graph Shape: torch.Size([163800, 14]), target shape: torch.Size([1638, 1])
Step 172, Batch Loss: 0.2295, Graph Shape: torch.Size([691300, 14]), target shape: torch.Size([6913, 1])
Step 173, Batch Loss: 0.1360, Graph Shape: torch.Size([157600, 14]), target shape: torch.Size([1576, 1])
Step 174, Batch Loss: 0.1361, Graph Shape: torch.Size([156600, 14]), target shape: torch.Size([1566, 1])
Step 175, Batch Loss: 0.1589, Graph Shape: torch.Size([157400, 14]), target shape: torch.Size([1574, 1])
Step 176, Batch Loss: 0.1680, Graph Shape: torch.Size([158200, 14]), target shape: torch.Size([1582, 1])
Step 177, Batch Loss: 1.3223, Graph Shape: torch.Size([158800, 14]), target shape: torch.Size([1588, 1])
Step 178, Batch Loss: 0.1870, Graph Shape: torch.Size([240900, 14]), target shape: torch.Size([2409, 1])
Step 179, Batch Loss: 0.1435, Graph Shape: torch.Size([245600, 14]), target shape: torch.Size([2456, 1])
Step 180, Batch Loss: 0.1608, Graph Shape: torch.Size([249500, 14]), target shape: torch.Size([2495, 1])
Step 181, Batch Loss: 0.1260, Graph Shape: torch.Size([244700, 14]), target shape: torch.Size([2447, 1])
Step 182, Batch Loss: 0.3135, Graph Shape: torch.Size([133000, 14]), target shape: torch.Size([1330, 1])
Step 183, Batch Loss: 0.3306, Graph Shape: torch.Size([680400, 14]), target shape: torch.Size([6804, 1])
Step 184, Batch Loss: 0.1229, Graph Shape: torch.Size([165100, 14]), target shape: torch.Size([1651, 1])
Step 185, Batch Loss: 0.1425, Graph Shape: torch.Size([234900, 14]), target shape: torch.Size([2349, 1])
Step 186, Batch Loss: 0.1464, Graph Shape: torch.Size([235200, 14]), target shape: torch.Size([2352, 1])
Step 187, Batch Loss: 0.5344, Graph Shape: torch.Size([327100, 14]), target shape: torch.Size([3271, 1])
Step 188, Batch Loss: 4.1363, Graph Shape: torch.Size([327100, 14]), target shape: torch.Size([3271, 1])
Step 189, Batch Loss: 0.2197, Graph Shape: torch.Size([276100, 14]), target shape: torch.Size([2761, 1])
Step 190, Batch Loss: 0.1760, Graph Shape: torch.Size([231800, 14]), target shape: torch.Size([2318, 1])
Step 191, Batch Loss: 0.1838, Graph Shape: torch.Size([236600, 14]), target shape: torch.Size([2366, 1])
Step 192, Batch Loss: 0.1452, Graph Shape: torch.Size([232100, 14]), target shape: torch.Size([2321, 1])
Step 193, Batch Loss: 0.2101, Graph Shape: torch.Size([329200, 14]), target shape: torch.Size([3292, 1])
Step 194, Batch Loss: 0.1502, Graph Shape: torch.Size([145000, 14]), target shape: torch.Size([1450, 1])
Step 195, Batch Loss: 0.1409, Graph Shape: torch.Size([234000, 14]), target shape: torch.Size([2340, 1])
Step 196, Batch Loss: 0.1431, Graph Shape: torch.Size([233600, 14]), target shape: torch.Size([2336, 1])
Step 197, Batch Loss: 0.1036, Graph Shape: torch.Size([163800, 14]), target shape: torch.Size([1638, 1])
Step 198, Batch Loss: 0.1328, Graph Shape: torch.Size([164200, 14]), target shape: torch.Size([1642, 1])
Step 199, Batch Loss: 0.1216, Graph Shape: torch.Size([164100, 14]), target shape: torch.Size([1641, 1])
Step 200, Batch Loss: 0.1444, Graph Shape: torch.Size([164100, 14]), target shape: torch.Size([1641, 1])
Step 201, Batch Loss: 0.1842, Graph Shape: torch.Size([197100, 14]), target shape: torch.Size([1971, 1])
Step 202, Batch Loss: 0.1863, Graph Shape: torch.Size([197000, 14]), target shape: torch.Size([1970, 1])
Step 203, Batch Loss: 0.1056, Graph Shape: torch.Size([156100, 14]), target shape: torch.Size([1561, 1])
Step 204, Batch Loss: 0.1141, Graph Shape: torch.Size([156400, 14]), target shape: torch.Size([1564, 1])
